,Unnamed: 0.1,link,country,news_outlet,title,date,text
10,10,https://elmundo.hn/category/coronavirus/,honduras,elmundo,Noticias de Honduras y el Mundo - Diario El Mundo,,Noticias de Honduras y el Mundo – Diario El Mundo
11,11,https://elmundo.hn/copeco-mantiene-alerta-verde-en-11-departamentos-de-honduras-por-torrenciales-lluvias/,honduras,elmundo,Copeco mantiene alerta verde en 11 departamentos de Honduras por torrenciales lluvias,2022-06-21,"Tegucigalpa. – El Comité de Alertas de la Comisión Permanente de Contingencias (Copeco), determinó mantener en alerta verde por 24 horas para 11 departamentos de Honduras: Cortés, Santa Bárbara, Copán, Ocotepeque, Lempira, Intibucá, La Paz, Francisco Morazán, El Paraíso, Valle y Choluteca.

Según el Centro de Estudios Atmosféricos, Oceanográficos y Sísmicos (Cenaos), producto de una vaguada en superficie, continuarán las lluvias y chubascos con actividad eléctrica, viento rachado y abundante nubosidad en la mayor parte del territorio nacional, durante el trascurso de las próximas 24 horas, registrando los mayores acumulados sobre las regiones noroccidental, occidental, sur y suroriental.

Estas precipitaciones generarían un aumento de los caudales en las quebradas y ríos, con posibles desbordamientos de los mismos y provocarían inundaciones repentinas y pluviales, especialmente en áreas urbanas de los departamentos del noroccidente, occidente y sur.

El oleaje en el Caribe cerca de la costa su altura será de dos a cuatro pies, con máximos de seis pies al norte de Islas de la Bahía y en el Golfo de Fonseca de dos a cuatro pies.

Por los niveles de alertas, los alcaldes deben seguir con las determinaciones que corresponden, como mantener activos los comités de emergencias departamentales, municipales y locales.

De igual manera, se recomienda a la población de los departamentos alertados a tomar las precauciones y estar pendientes de los boletines que emita Copeco y las autoridades locales.

Debido a la humedad de los suelos, la población debe estar pendiente de los lugares que son susceptibles a deslizamientos, deslaves y derrumbes, especialmente en las áreas urbanas, porque podrían presentarse caídas de muros."
12,12,https://elmundo.hn/mas-de-23-familias-en-albergues-reciben-atencion-medica-autoridades-listas-para-habilitar-mas-refugios/,honduras,elmundo,"Más de 23 familias en albergues reciben atención médica, autoridades listas para habilitar más refugios",2022-05-25,"Tegucigalpa – Luego de las fuertes lluvias que dejaron caos a su paso en la capital hondureña, varias familias continúan enfrentando los estragos, ya que se mantienen en albergues por las diversas inundaciones en sus viviendas.

En las últimas horas, el doctor Gilberto Ramírez, del departamento de Salud de la alcaldía capitalina, informó que actualmente más de 100 personas en los albergues reciben atención médica constante, quienes presentan enfermedades de base; diabetes e hipertensión.

El profesional de la medicina indicó que los pequeños también reciben atención en su estado de salud, ya que varios menores presentan signos de asma, entre otros padecimientos.

En ese sentido, las autoridades continúan entregando medicamentos para la población afectada por las fuertes lluvias en la capital.

Recordó que se mantiene tres albergues habilitados, específicamente en la Mololoa, Nueva Suyapa y Nueva Esperanza, asegurando a su vez, que de ser necesario se procederá habilitar más refugios.

Por su parte, la Comisión Permanente de Contingencias (Copeco), declaró alerta verde para 10 departamentos, mientras que la capital del país mantiene la alerta amarilla por 24 horas más."
13,13,https://elmundo.hn/piedad-cordoba-fue-retenida-en-honduras-por-transportar-62-000-dolares/,honduras,elmundo,"Requieren en Palmerola a senadora colombiana, Piedad Córdoba, por no declarar más de 62 mil dólares",2022-05-26,"Tegucigalpa. – La senadora colombiana, Piedad Córdoba, fue retenida este miércoles en el Aeropuerto Internacional de Palmerola, en el departamento de Comayagua, zona central de Honduras, por transportar una fuerte cantidad de dólares estadounidenses en efectivo.

-La senadora electa por el Pacto Histórico fue retenida en el aeropuerto de Comayagüa cuando le fue identificado el paquete con dólares en efectivo. Es conocida la relación de Córdoba con la presidenta Xiomara Castro, quien incluso la invitó a su toma de posesión.

De acuerdo con lo informado por el noticiero RCN de Colombia, Córdoba fue requerida por las autoridades de la terminal aérea, ubicada a unos 80 kilómetros al norte de Tegucigalpa, capital hondureña, por transportar 62 mil 770 dólares y no haberlos declarado previamente.

La información fue confirmada por el Instituto Nacional de Migración (INM), mediante un comunicado, donde indica que la senadora colombiana ha sido retenida provisionalmente por portar cerca de 68 mil dólares americanos que alega pertenecen a un empresario colombiano.

Noticias RCN detalló que en un puesto de control de rayos X se identificó el dinero que llevaba la congresista colombiana, que viajaba hacia Panamá con destino a Bogotá.

De igual forma, Noticias RCN indicó que la senadora colombiana electa por el Partido Pacto Histórico se encontraba en Honduras desde el pasado fin de semana.

El mismo medio colombiano compartió en sus redes sociales dos imágenes del dinero decomisado a Córdoba. En las instantáneas se observan varios fajos de dinero, la mayoría dólares y algunos lempiras y bolívares.

Las polémicas han estado a la carta con la senadora Piedad Córdoba, al punto que el candidato a la presidencia y jefe político del Pacto Histórico, Gustavo Petro, le pidió marginarse de la campaña, señaló que son graves los señalamientos en su contra y hasta, en debate definitivo para la primera vuelta presidencial

Investigación en curso contra Piedad Córdoba

El pasado 4 de mayo, Noticias RCN conoció el testimonio de Braulio Sánchez, un prestamista de Cúcuta que trabajaba en la frontera entre Colombia y Venezuela, quien declaró en el proceso que se adelanta en contra de la senadora Piedad Córdoba.

La declaración se dio el pasado 22 de abril en el consulado de Colombia en Madrid, en donde ahora reside, ante la magistrada Cristina Lombana, en medio del proceso que se adelanta en contra de la senadora por presuntos nexos con las Fuerzas Armadas Revolucionarias de Colombia (FARC) y la presunta financiación irregular de sus campañas políticas.

Según las investigaciones, Sánchez es primo del empresario Carlos Balilla Battistini, y sería la pieza clave en la recepción de dineros desde Venezuela hacia Colombia.

Cabe mencionar que Battistini ha ocupado importantes cargos privados y públicos en el gobierno chavista y es investigado por la DEA por las gestiones que habría realizado a través de un banco para Alex Saab, quien es señalado de ser el testaferro de Nicolás Maduro.

Durante el encuentro, la magistrada le preguntó a Sánchez si él sacaba dinero de Venezuela para traerlo a Colombia y este respondió que sí, que él «lo pasaba en efectivo más que todo cuando tenían deudas que pegar de la empresa».

También afirmó que se usaban cuentas de terceras personas, pero que nunca tuvo claro cuál era el destino del dinero. En medio de la audiencia, también dijo que conoció a Piedad Córdoba en un reconocido restaurante de Bogotá.

Recientemente la senadora electa por el Pacto Histórico se ha visto inmersa en una serie de líos judiciales. Su proceso por presuntos nexos con la guerrilla de las Farc se reanudó en la Corte Suprema de Justicia con la recolección de varios testimonios que no la dejan bien parada."
14,14,https://elmundo.hn/copeco-decreta-alerta-verde-para-cuatro-departamentos-de-honduras/,honduras,elmundo,Copeco decreta alerta verde para cuatro departamentos de Honduras,2022-05-19,"Tegucigalpa – El Comité de Alerta Temprana de la Comisión Permanente de Contingencias (Copeco), determinó este jueves decretar alerta verde por 48 horas para cuatro departamentos del país debido al ingreso de una onda tropical, la primera de este año.

La alerta preventiva rige por 48 horas en los departamentos de Francisco Morazán, El Paraíso, Choluteca y Valle.

De acuerdo con la información de Copeco, la onda tropical, que actualmente se ubica a unos 310 kilómetros al este de la costa Caribe nicaragüense, ingresará al oriente del país en horas de la tarde.

Esta onda dejará precipitaciones dispersas de moderadas a fuertes en las regiones que se encuentran en alerta verde.

Los mayores acumulados se estarán registrando en las regiones centro (Distrito Central, Francisco Morazán); sur (Valle, Choluteca); suroccidente (La Esperanza, Lempira) y suroriente."
15,15,https://elmundo.hn/ihtt-costos-operativos-no-permiten-reducir-a-15-lempiras-el-pasaje-del-taxi-colectivo/,honduras,elmundo,IHTT: “Costos operativos no permiten reducir a 15 lempiras el pasaje del taxi colectivo”,2022-04-14,"Tegucigalpa – Luego de los acuerdos logrados en la reunión entre la presidenta, Xiomara Castro y el sector transporte, múltiples reacciones se han desatado, entre ellos; bajar el cobro de 20 lempiras al pasaje de taxi colectivo, ya que el gobierno aprobó cuatro pasajeros por unidad.

Sin embargo, el comisionado del Instituto Hondureño de Transporte Terrestre (IHTT), Rafael Barahona, aseguró este miércoles que los costos operativos no permiten reducir a 15 lempiras el pasaje del taxi.

“Pueden montar el cuarto pasajero y cobrando los 20 lempiras, no hay ningún problema, lo pueden seguir cobrando con un pasajero adicional, esto ayudará a compensar los costos operativos”, declaró Barahona.

De igual forma, el comisionado del IHTT añadió que “son cosas que debemos comprender, el alto costo del combustible tiene una relación directa con el costo de la tarifa”."
16,16,https://elmundo.hn/se-reporta-la-primera-victima-por-ahogamiento-de-semana-santa-en-honduras/,honduras,elmundo,Se reporta la primera víctima por ahogamiento de Semana Santa en Honduras,2022-04-11,"Tegucigalpa – Con la llegada del verano, en especial durante Semana Santa, son cientos de hondureños que deciden desplazarse hasta ríos y playas para disfrutar en la temporada calurosa, sin embargo, debido a diferentes factores también esto puede derivar en muertes por ahogamiento.

Desde el sector de Agua Caliente, Reitoca en el departamento de Francisco Morazán se registró el primer fallecido por sumersión.

La víctima fue identificada como Manuel Reyes. El joven se encontraba con sus amigos al momento del incidente; asistentes a este lugar intentaron atender a Reyes al instante con primeros auxilios, pero ya no contaba con signos vitales.

Las autoridades de emergencia enfatizan en mantener precaución al momento de asistir a piscinas, ríos, playas y demás para evitar este tipo de fatalidades que dejan en luto a familias durante la Semana Mayor."
17,17,https://elmundo.hn/hospitales-y-triajes-abarrotados-de-pacientes-en-busca-de-atencion-por-covid-19/,honduras,elmundo,Hospitales y triajes abarrotados de pacientes en busca de atención por Covid-19,2022-07-13,"Tegucigalpa. – Una nueva ola de contagios por Covid-19 mantiene en alerta al sector Salud, en las últimas semanas se registran interminables filas de personas en hospitales y triajes del país en busca de atención médica.

Son largas filas de ciudadanos las que registra el Instituto Hondureño de Seguridad Social (IHSS), así como el triaje ubicado en el Centro Cívico Gubernamental (CCG), por presentar síntomas y descartar un contagio por Covid-19.

Este repunte de casos demostró un alto nivel de contagiosidad, generando preocupación entre especialistas quienes temen el ingreso de Centaurus.

Una nueva variante del Covid-19 detectada en la India, con el sublinaje BA.2.75 y según estudios es cinco veces más contagiosa que Ómicron.

En ese sentido, el infectólogo Tito Alvarado, se mostró preocupado ante esta nueva variante denominada “Centaurus”, asegurando que su ingreso a Honduras puede ser desastroso.

“La nueva cepa llamada Centaurus es mucho más agresiva, mucho más transmisible y disminuye mucho más la potencia de las vacunas, si viene a Honduras eso sería desastroso”, manifestó.

Ante la ola de contagios por el letal virus, explicó que “se debe a las nuevas cepas de Ómicron BA.4 y a BA.5 que son muy transmisibles y por eso la gente se enferma más”."
18,18,https://elmundo.hn/atic-y-fescco-incautan-324-kilos-de-presunta-cocaina-en-embarcaciones-en-region-caribe-de-honduras/,honduras,elmundo,ATIC y Fescco incautan 324 kilos de presunta cocaína en embarcaciones en región Caribe de Honduras,2022-07-12,"Tegucigalpa – El Ministerio Público informó este martes que la Agencia Técnica de Investigación (ATIC) y la Fiscalía Especial Contra el Crimen Organizado (Fescco) dirigieron la operación antidrogas en la que lograron la incautación de 324 kilos de presunta cocaína.

Tras investigaciones, autoridades recabaron información sobre un posible traslado de droga en dos embarcaciones pesqueras, seguidamente, coordinaron con la Fuerza Naval para interceptar los botes en la zona atlántica.

Los vehículos marítimos fueron trasladados hasta la base en Puerto Castilla para contabilizar al interior de los fardos en los que se hizo el hallazgo de más de 300 kilos de presunto estupefaciente.

Asimismo, los tripulantes que fueron detenidos, fueron identificados como Shene Derry Moore, Bayron Carter Wood, Fred Pérez, James Wester, Jeison Powell Jiménez, Gabriel de Jesús Antúnez, Dayron Lee Matute y Denis Nani Padilla.

Todos son acusados del delito de tráfico de drogas, de igual forma, los imputados serán puestos a disposición de los entes judiciales correspondientes."
19,19,https://elmundo.hn/mp-ejecuta-operacion-eslabon-para-asegurar-bienes-a-estructura-de-wilkin-montalvan-y-tony-hernandez/,honduras,elmundo,MP ejecuta Operación Eslabón para asegurar bienes a estructura de Wilkin Montalván y Tony Hernández,2022-06-05,"Tegucigalpa. – El Ministerio Público informó que puso en marcha la Operación Eslabón la mañana de este sábado en la que se busca asegurar diferentes tipos de bienes a personas ligadas a la estructura criminal liderada por el extinto Wilkin Montalván, vinculado con Juan Ramón Matta Waldurraga y Juan Antonio Hernández Alvarado.

“Se trata de allanamientos, aseguramientos e incautación de los bienes muebles, inmuebles, sociedades mercantiles y productos financieros vinculados a los sujetos de investigación identificados como Wilkin Montalván (fallecido), Vanseal Soto, Ricardo Padilla, Milton Montalván, Alberto Muccioli Ordóñez, Edwin Montalván, Norberta Mejía, Ángel Flores e Iris Jiménez”, señala el Ministerio Público.

Según las indagaciones, la estructura criminal de Wilkin Montalván está relacionada hace muchos años al narcotráfico, específicamente desde el 2003 cuando en Olancho autoridades interceptaron una avioneta cargada de cocaína produciéndose un cruce de balas entre agentes y sujetos que se conducían en un vehículo propiedad del extinto líder de esa organización.

Asimismo, el MP manifiesta que encontraron que se crearon varias sociedades de transporte, construcción y estaciones de servicio para dar apariencia de legalidad a los activos ilegales, resaltando sus nexos con Juan Ramón Matta Waldurraga y Juan Antonio Hernández.

En total se estarían asegurando 22 inmuebles, 17 sociedades mercantiles y 40 vehículos a la estructura del crimen organizado, detalla el comunicado."
